G4
1.2911
0.5523
0.211
0.9791
0.9376
0.5449
3.1155
1.2183
0.6567
0.5761
1.3736
1.0545
1.7825
1.7647
1.2079
1.2775
1.3808
1.2807
1.3933
1.3938
1.3938
2.1776
2.7635
0.7877
1.1097
1.9236
1.2857
1.2278
0.8258
1.5806
0.2302
0.5923
0.526
1.1736
1.3692
0.7543
1.951
1.1393
0.3496
0.4773
0.8131
1.6448
3.6768
1.5852
1.4396
1.0807
1.8694
0.5129
0.7891
0.9624
0.7623
0.8613
0.8796
0.9142
1.3317
1.1837
0.4651
0.5342
0.9678
0.4226
1.3869
1.3869
1.8624
0.652
1.2162
1.1819
0.9504
1.2567
0.7827
1.4535
3.0903
1.6259
1.5445
0.9326
1.3582
1.0367
0.6682
0.4802
0.4923
0.6359
1.066
0.6529
2.1441
1.1427
3.1587
0.5516
1.3164
2.2486
0.4606
0.52
0.5708
0.5502
0.5406
0.7509
0.805
1.8957
1.8332
0.8951
0.5394
1.9029
0.5576
1.9253
0.6901
1.2386
1.0963
1.1775
1.3531
1.4507
2.3162
1.0662
1.838
1.038
0.6391
1.1474
2.6941
1.5169
1.2735
2.049
3.0241
4.2496
2.1435
1.2858
2.2049
1.9173
2.0201
0.7518
1.321
1.9348
1.3079
1.2693
2.4655
2.0715
1.3654
1.9756
1.1337
1.1332
1.2082
1.8662
1.5193
1.4446
2.3679
1.7645
1.3769
1.8193
2.315
1.5025
1.3837
2.6592
1.3483
2.274
1.651
1.3516
1.2183
3.1109
2.3712
1.1572
1.3145
1.5968
1.2895
0.9472
1.3393
1.2678
3.3575
4.5057
1.351
0.9355
1.8299
0.8271
1.0794
1.7933
1.9162
1.079
2.739
2.275
0.8014
1.1286
0.923
2.1031
2.583
2.0105
1.3425
2.0248
2.2578
2.1713
1.3764
1.5542
1.4638
1.1794
1.6823
4.2266
1.2474
0.8117
0.9372
1.3848
1.6486
1.7973
1.3135
2.4052
2.0823
1.5728
1.2267
2.1066
0.7984
1.0277
2.1324
4.6402
1.0976
2.4312
1.6373
2.0691
1.6514
4.4453
1.0885
1.9591
1.3788
1.1252
2.0734
1.5631
2.258
3.1824
1.4982
3.2548
1.496
2.2757
4.2542
1.3162
1.929
1.572
3.0799
2.2468
2.1248
1.3296
1.8517
2.3781
2.1869
1.4339
1.5396
0.8274
0.7489
2.1108
2.0083
1.6002
4.2097
1.7756
2.2848
1.7966
1.6135
2.1451
2.0357
1.8116
2.2287
2.5854
1.637
1.3943
0.7191
2.0945
1.0159
2.2266
1.1866
0.8189
1.6316
0.8211
1.2421
2.215
0.643
1.6733
1.4778
1.8793
2.1767
1.5732
1.9896
1.3132
0.8117
0.6916
1.9424
1.4547
0.9206
1.587
0.9657
1.4986
2.8716
1.0063
1.1658
1.1227
1.1752
2.304
1.1493
1.5886
2.9008
1.1969
1.5457
2.8399
0.3857
0.7637
1.253
1.5298
3.0207
1.6897
1.2792
2.0012
1.9757
2.0231
2.5297
1.7695
2.9019
1.3949
1.8352
1.4927
1.209
2.1549
1.6634
2.1356
1.4433
1.4478
1.1343
1.8109
1.4226
0.8743
0.938
1.9001
1.6659
0.6873
1.5401
0.5787
1.875
3.1593
1.1039
2.2007
1.4156
2.796
0.9012
1.7967
3.5896
1.3599
1.8668
1.2222
3.3935
1.9593
1.6707
1.5253
2.0974
1.4132
1.2646
2.282
2.17
2.8363
1.4774
1.5202
1.8591
0.5096
2.155
2.2692
3.5876
1.2812
1.5535
1.8387
3.6832
2.3758
2.0023
0.9654
2.0821
1.6938
2.1384
2.1535
1.3289
1.8984
1.1362
0.9094
1.475
1.6581
1.6233
1.4718
1.5994
4.1815
1.7803
1.6037
2.4745
1.5086
0.8972
1.8887
1.5807
1.4681
1.7259
1.349
1.2055
1.2593
4.9815
1.7222
2.0684
1.7353
1.8142
0.9089
1.0273
0.9454
1.2024
1.4192
0.9196
2.3593
1.3047
2.4812
2.39
3.4356
1.1737
2.3315
2.7646
1.8662
3.4049
1.2926
0.9998
1.4293
0.9411
2.2931
2.0593
3.0896
1.5054
1.5969
1.3392
2.4796
1.8761
1.2011
3.0456
2.2088
1.5273
1.4015
1.3648
1.9855
1.8421
1.555
1.5033
0.608
1.2751
1.6194
2.4184
1.4363
2.1318
1.5117
1.0996
1.7606
1.41
1.0871
1.5607
3.6309
2.0139
2.2133
0.9658
1.5778
1.2463
0.9729
1.9017
0.8915
1.6417
1.2058
2.8809
1.1197
0.8813
1.2998
2.1601
1.4777
1.9008
1.5223
2.6244
1.3594
1.449
1.0726
1.3542
0.9634
1.2338
1.8825
1.8137
1.1594
1.5092
1.6476
3.3632
2.297
1.2991
0.8658
1.0562
2.3587
